Datetime,Temperature,Pressure,Humidity,Wind,Wind_Speed,Forcast,City
15.03.2017 02:00,15.2,763.5,65,Wind blowing from the north-west,3, ,Falconara 
15.03.2017 05:00,15.2,762.6,66,Wind blowing from the west,4, ,Falconara 
15.03.2017 11:00,18.2,764.2,46,Wind blowing from the west-northwest,8, ,Falconara 
15.03.2017 14:00,18.6,763.8,41,Wind blowing from the north-west,8, ,Falconara 
15.03.2017 17:00,16.3,763.3,57,Wind blowing from the north,6, ,Falconara 
15.03.2017 20:00,15.2,763.4,57,Wind blowing from the north-northwest,5, ,Falconara 
15.03.2017 23:00,15.1,763.7,51,Wind blowing from the north-northwest,5, ,Falconara 
16.03.2017 02:00,15.3,762.9,52,Wind blowing from the north,4, ,Falconara 
16.03.2017 05:00,14.4,762.3,56,Wind blowing from the north-west,4, ,Falconara 
16.03.2017 08:00,16.2,762.7,49,Wind blowing from the north,5, ,Falconara 
16.03.2017 11:00,18.2,762.6,43,Wind blowing from the north-northwest,5, ,Falconara 
16.03.2017 14:00,18.8,762,43,Wind blowing from the west-northwest,4, ,Falconara 
16.03.2017 17:00,17.3,761.7,45,Wind blowing from the north,5, ,Falconara 
16.03.2017 20:00,15.3,762.4,52,Wind blowing from the west-northwest,3, ,Falconara 
16.03.2017 23:00,14,761.5,58,Wind blowing from the north,2, ,Falconara 
17.03.2017 02:00,14.6,761.1,54,Wind blowing from the north,3, ,Falconara 
17.03.2017 08:00,13,760.2,68,Wind blowing from the east,3,Haze. ,Falconara 
17.03.2017 11:00,16.9,760.9,51,Wind blowing from the east-southeast,3, ,Falconara 
17.03.2017 17:00,17.4,758.3,53,Wind blowing from the east,6,"Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of ships, blowing spray at the station. ",Falconara 
17.03.2017 20:00,16.2,758.4,64,Wind blowing from the north-east,6, ,Falconara 
17.03.2017 23:00,15.8,756.9,64,Wind blowing from the east-northeast,5, ,Falconara 
18.03.2017 02:00,14.8,761.2,52,Wind blowing from the north-west,6, ,Falconara 
18.03.2017 05:00,16.2,754.8,62,Wind blowing from the north-east,11, ,Falconara 
18.03.2017 08:00,15.9,755.9,68,Wind blowing from the north-northeast,10, ,Falconara 
18.03.2017 11:00,17.7,757.2,55,Wind blowing from the north-east,9, ,Falconara 
18.03.2017 14:00,17.4,757.2,58,Wind blowing from the north-northeast,8, ,Falconara 
18.03.2017 17:00,17.1,758.1,57,Wind blowing from the north,9, ,Falconara 
18.03.2017 20:00,15.2,759.6,56,Wind blowing from the north,8, ,Falconara 
18.03.2017 23:00,15,760.8,55,Wind blowing from the north-northwest,5, ,Falconara 
19.03.2017 02:00,14.8,761.2,52,Wind blowing from the north-west,6, ,Falconara 
19.03.2017 05:00,14.1,761,51,Wind blowing from the north-northwest,6, ,Falconara 
19.03.2017 08:00,15.1,762.1,48,Wind blowing from the north-northwest,4, ,Falconara 
19.03.2017 11:00,17.8,763.3,39,Wind blowing from the north-northwest,6, ,Falconara 
19.03.2017 14:00,17.9,762.7,41,Wind blowing from the north-west,5, ,Falconara 
19.03.2017 17:00,18.2,762.7,49,Wind blowing from the west-northwest,7, ,Falconara 
19.03.2017 20:00,16.4,762.9,62,Wind blowing from the west-northwest,5, ,Falconara 
19.03.2017 23:00,15.6,763.4,61,Wind blowing from the west-northwest,5, ,Falconara 
20.03.2017 02:00,15.3,762.9,67,Wind blowing from the west-northwest,4, ,Falconara 
20.03.2017 05:00,15.6,762.9,63,Wind blowing from the west-northwest,5, ,Falconara 
20.03.2017 11:00,18.4,763.9,59,Wind blowing from the west,6, ,Falconara 
20.03.2017 20:00,16.3,763.4,71,Wind blowing from the west-northwest,4, ,Falconara 
21.03.2017 11:00,18.7,762.2,60,Wind blowing from the south,1,Haze. ,Falconara 
21.03.2017 14:00,20.5,760.2,56,Wind blowing from the north-west,2, ,Falconara 
21.03.2017 17:00,18,759.7,62,Wind blowing from the north,3, ,Falconara 
21.03.2017 20:00,16.4,760.2,72,Wind blowing from the north-east,2, ,Falconara 
21.03.2017 23:00,16.2,759.3,78,Wind blowing from the east,4, ,Falconara 
22.03.2017 02:00,15.8,759.7,77,"Calm, no wind",0, ,Falconara 
22.03.2017 05:00,16.6,759.9,74,"Calm, no wind",0, ,Falconara 
22.03.2017 08:00,17.3,757.5,65,Wind blowing from the east-northeast,7, ,Falconara 
22.03.2017 11:00,19.6,757,54,Wind blowing from the east-southeast,4,Haze. ,Falconara 
22.03.2017 14:00,21.2,754.9,49,Wind blowing from the east,4,Haze. ,Falconara 
22.03.2017 17:00,21.2,754.9,49,Wind blowing from the east,4,Haze. ,Falconara 
22.03.2017 20:00,17.5,754.3,68,Wind blowing from the east,8, ,Falconara 
23.03.2017 02:00,16.3,755.5,74,Wind blowing from the north-northeast,4, ,Falconara 
23.03.2017 05:00,16.4,755.9,78,Wind blowing from the east,5, ,Falconara 
23.03.2017 08:00,17.6,757.8,72,Wind blowing from the north-northeast,7, ,Falconara 
23.03.2017 11:00,19.1,758.9,63,Wind blowing from the north,6, ,Falconara 
23.03.2017 14:00,20.9,759,58,Wind blowing from the north-northeast,6, ,Falconara 
23.03.2017 17:00,19,759.7,66,Wind blowing from the north,7, ,Falconara 
24.03.2017 11:00,19.3,763.3,57,Wind blowing from the north-northwest,4, ,Falconara 
24.03.2017 14:00,20,763.2,61,Wind blowing from the south-southwest,4, ,Falconara 
24.03.2017 17:00,18.6,763.3,62,Wind blowing from the north,6, ,Falconara 
24.03.2017 20:00,16.6,764,72,Wind blowing from the north,3, ,Falconara 
24.03.2017 23:00,15.6,764.4,76,Wind blowing from the north,3, ,Falconara 
25.03.2017 02:00,15.2,764,80,Wind blowing from the north-northwest,3, ,Falconara 
25.03.2017 05:00,15.5,763.8,73,Wind blowing from the north,2, ,Falconara 
25.03.2017 08:00,17.3,764.6,64,Wind blowing from the north,5, ,Falconara 
25.03.2017 11:00,19.7,764.6,55,Wind blowing from the north,5, ,Falconara 
25.03.2017 14:00,20.3,761.6,53,Wind blowing from the north-west,5, ,Falconara 
25.03.2017 17:00,18.9,762.6,59,Wind blowing from the north,7, ,Falconara 
25.03.2017 20:00,16.5,763.3,68,Wind blowing from the north-northwest,4, ,Falconara 
25.03.2017 23:00,16,763.5,70,Wind blowing from the north,4, ,Falconara 
